@relation sessions
@attribute Session integer
@attribute Actions integer
@attribute Time integer
@attribute PageAverageTime real
@attribute /ksc.html {True, False}
@attribute /shuttle/missions/missions.html {True, False}
@attribute /shuttle/countdown/ {True, False}
@attribute / {True, False}
@data
0,3,352,117.33333333333333,True,True,True,True
1,4,292,73.0,True,True,True,True
2,3,360,120.0,True,True,True,True
4,2,82,41.0,True,True,True,True
6,2,107,53.5,True,True,True,True
10,3,78,26.0,True,True,True,True
15,2,73,36.5,True,True,True,True
16,4,184,46.0,True,True,True,True
18,4,766,191.5,True,True,True,True
20,5,172,34.4,True,True,True,True
21,7,416,59.42857142857143,True,True,True,True
24,4,244,61.0,True,True,True,True
25,2,71,35.5,True,True,True,True
26,6,516,86.0,True,True,True,True
29,3,213,71.0,True,True,True,True
34,4,65,16.25,True,True,True,True
37,4,92,23.0,True,True,True,True
39,2,171,85.5,True,True,True,True
46,2,21,10.5,True,True,True,True
48,2,65,32.5,True,True,True,True
49,2,91,45.5,True,True,True,True
61,3,715,238.33333333333334,True,True,True,True
97,2,46,23.0,True,True,True,True
101,4,187,46.75,True,True,True,True
103,2,108,54.0,True,True,True,True
104,11,663,60.27272727272727,True,True,True,True
105,2,239,119.5,True,True,True,True
108,3,234,78.0,True,True,True,True
109,3,69,23.0,True,True,True,True
110,3,63,21.0,True,True,True,True
112,2,133,66.5,True,True,True,True
116,2,84,42.0,True,True,True,True
117,3,46,15.333333333333334,True,True,True,True
121,7,941,134.42857142857142,True,True,True,True
123,5,679,135.8,True,True,True,True
125,2,450,225.0,True,True,True,True
126,2,128,64.0,True,True,True,True
128,2,402,201.0,True,True,True,True
130,2,44,22.0,True,True,True,True
131,2,276,138.0,True,True,True,True
132,3,84,28.0,True,True,True,True
133,4,90,22.5,True,True,True,True
135,8,254,31.75,True,True,True,True
136,3,210,70.0,True,True,True,True
140,3,551,183.66666666666666,True,True,True,True
141,5,301,60.2,True,True,True,True
145,4,112,28.0,True,True,True,True
146,3,45,15.0,True,True,True,True
147,2,280,140.0,True,True,True,True
149,3,242,80.66666666666667,True,True,True,True
152,3,800,266.6666666666667,True,True,True,True
154,2,74,37.0,True,True,True,True
155,6,160,26.666666666666668,True,True,True,True
156,3,48,16.0,True,True,True,True
157,3,57,19.0,True,True,True,True
158,3,392,130.66666666666666,True,True,True,True
160,2,27,13.5,True,True,True,True
161,5,250,50.0,True,True,True,True
162,3,240,80.0,True,True,True,True
164,4,379,94.75,True,True,True,True
167,7,333,47.57142857142857,True,True,True,True
168,2,17,8.5,True,True,True,True
169,5,120,24.0,True,True,True,True
170,2,11,5.5,True,True,True,True
